id,value
id_0,25
id_1,63
id_2,20
id_3,29
id_4,9
id_5,33
id_6,40
id_7,17
id_8,52
id_9,32
id_10,38
id_11,58
id_12,35
id_13,41
id_14,26
id_15,13
id_16,51
id_17,23
id_18,18
id_19,19
id_20,15
id_21,31
id_22,38
id_23,12
id_24,61
id_25,45
id_26,28
id_27,6
id_28,28
id_29,36
id_30,17
id_31,11
id_32,15
id_33,6
id_34,15
id_35,42
id_36,22
id_37,27
id_38,8
id_39,59
id_40,46
id_41,18
id_42,52
id_43,19
id_44,44
id_45,49
id_46,57
id_47,41
id_48,54
id_49,39
id_50,29
id_51,24
id_52,39
id_53,23
id_54,37
id_55,39
id_56,25
id_57,21
id_58,35
id_59,31
id_60,12
id_61,21
id_62,32
id_63,53
id_64,51
id_65,25
id_66,37
id_67,52
id_68,28
id_69,39
id_70,64
id_71,55
id_72,42
id_73,13
id_74,12
id_75,35
id_76,62
id_77,3
id_78,40
id_79,42
id_80,7
id_81,23
id_82,6
id_83,31
id_84,9
id_85,5
id_86,18
id_87,10
id_88,19
id_89,25
id_90,34
id_91,12
id_92,13
id_93,9
id_94,37
id_95,14
id_96,16
id_97,8
id_98,11
id_99,4
id_100,9
id_101,18
id_102,12
id_103,7
id_104,12
id_105,36
id_106,25
id_107,7
id_108,17
id_109,15
id_110,11
id_111,17
id_112,16
id_113,26
id_114,20
id_115,17
id_116,6
id_117,47
id_118,27
id_119,0
id_120,0
id_121,10
id_122,13
id_123,13
id_124,6
id_125,24
id_126,21
id_127,11
id_128,21
id_129,14
id_130,1
id_131,32
id_132,14
id_133,22
id_134,26
id_135,23
id_136,10
id_137,20
id_138,78
id_139,60
id_140,26
id_141,19
id_142,24
id_143,7
id_144,13
id_145,9
id_146,19
id_147,7
id_148,13
id_149,15
id_150,48
id_151,22
id_152,20
id_153,14
id_154,12
id_155,24
id_156,26
id_157,36
id_158,4
id_159,23
id_160,43
id_161,19
id_162,63
id_163,17
id_164,33
id_165,24
id_166,24
id_167,0
id_168,65
id_169,15
id_170,16
id_171,67
id_172,20
id_173,1
id_174,23
id_175,0
id_176,7
id_177,19
id_178,20
id_179,25
id_180,42
id_181,31
id_182,27
id_183,12
id_184,7
id_185,41
id_186,35
id_187,34
id_188,17
id_189,23
id_190,13
id_191,15
id_192,31
id_193,65
id_194,29
id_195,11
id_196,63
id_197,16
id_198,20
id_199,20
id_200,122
id_201,24
id_202,58
id_203,5
id_204,59
id_205,36
id_206,15
id_207,12
id_208,62
id_209,15
id_210,35
id_211,68
id_212,17
id_213,113
id_214,41
id_215,79
id_216,91
id_217,70
id_218,30
id_219,18
id_220,29
id_221,59
id_222,27
id_223,38
id_224,43
id_225,9
id_226,3
id_227,81
id_228,31
id_229,1
id_230,40
id_231,17
id_232,22
id_233,8
id_234,13
id_235,25
id_236,13
id_237,2
id_238,20
id_239,10
